0,Correlation,Error_measure,Precision,tp,DailyValueTraded
BWP,0.0752068950823,0.0115093710232,0.5555555555555556,20,1768538.53689
BWR,-1.1,-1.1,-1.1,-1.1,19072.345825
BWX,0.182105733236,0.0207755762292,0.48,12,1709545.93162
BXB,0.0790275552288,0.0118662358239,0.5333333333333333,8,40155996.7334
BXN,-1.1,-1.1,-1.1,-1.1,6222.61675422
BYE,-1.1,-1.1,-1.1,-1.1,13512.3915787
BYI,-1.1,-1.1,-1.1,-1.1,12622.3113992
BYL,-1.1,-1.1,-1.1,-1.1,41683.7398275
BYR,0.0695431902241,0.052371108768,0.5555555555555556,5,65304.2873807
BZL,-1.1,-1.1,-1.1,-1.1,3233.9866861
CAA,0.0600821500682,0.0264553249362,0.21518987341772153,17,104541.754912
CAB,0.0531040358023,0.0169477157953,0.625,5,1419221.75236
CAD,0.0733525077245,0.0922176611617,0,0,85633.9474703
CAE,-1.1,-1.1,-1.1,-1.1,30240.5901283
CAF,-1.1,-1.1,-1.1,-1.1,31607.1071228
CAG,-1.1,-1.1,-1.1,-1.1,25512.3250626
CAJ,0.0277815233844,0.0383991447658,0.3,21,272315.862171
CAM,-1.1,-1.1,-1.1,-1.1,30948.7984241
CAP,-0.0137631128787,0.0436157564463,0.20689655172413793,12,88552.3503964
CAQ,-1.1,-1.1,-1.1,-1.1,8886.52211778
CAR,0.0406266333481,0.0150206411399,0.6666666666666666,2,6052410.16928
CAS,0.0760498206883,0.0368461411374,0.37681159420289856,26,59840.5293287
CAT,0.106117591668,0.0240154014288,0.35294117647058826,12,146774.968806
CAV,-1.1,-1.1,-1.1,-1.1,30036.276169
CAY,-1.1,-1.1,-1.1,-1.1,15226.1733816
CAZ,0.037743759396,0.043043260756,0.6,3,99666.0079754
CBA,0.0706517040343,0.00959258420124,0.4838709677419355,15,167729715.627
CBC,-1.1,-1.1,-1.1,-1.1,10855.2431373
CBK,-1.1,-1.1,-1.1,-1.1,5198.40052356
CBL,0.204145729456,0.0148511598478,0.631578947368421,12,142706.421673
CBQ,-1.1,-1.1,-1.1,-1.1,15101.0405032
CBS,-1.1,-1.1,-1.1,-1.1,19869.5247213
CCC,0.0477749460945,0.0460035001086,0,0,500151.328316
CCF,-1.1,-1.1,-1.1,-1.1,30948.2503752
CCJ,-1.1,-1.1,-1.1,-1.1,10449.2505713
CCL,-0.00497902124906,0.0104325378689,0.3333333333333333,2,18484227.3729
CCP,0.0211520734444,0.017674411772,0.43902439024390244,18,642253.672215
CCV,0.0144759353524,0.0233380396174,0,0,363487.990351
CCZ,-1.1,-1.1,-1.1,-1.1,3657.61748989
CDA,-0.0482320467013,0.032356959779,1.0,1,198410.237473
CDB,-1.1,-1.1,-1.1,-1.1,27646.3159672
CDD,0.0343035568134,0.0166997170783,0.5714285714285714,4,1030767.01637
CDG,-1.1,-1.1,-1.1,-1.1,29216.4139877
CDH,-1.1,-1.1,-1.1,-1.1,221.779983412
CDM,-0.00586890227166,0.0966399578715,0.3768844221105528,225,75075.7547314
CDP,0.0827883774476,0.0103564003663,0.21428571428571427,6,105168.898784
CDT,-1.1,-1.1,-1.1,-1.1,24675.4734863
CDU,0.0746119352107,0.0247283455909,0.24,6,1428076.4747
CDV,-1.1,-1.1,-1.1,-1.1,22078.1778164
CDY,0.0894817141891,0.0555350616371,0.5,1,82614.1125242
CEL,-1.1,-1.1,-1.1,-1.1,42776.2290506
CEN,0.0198056877743,0.0417569235878,0,0,55869.6418036
