,Date,Symbol,Order,Shares
64,2016-01-09,DUI,SELL,2994.01197605
65,2016-01-11,DUI,BUY,2994.01197605
63,2016-01-16,ALF,SELL,7142.85714286
72,2016-01-20,AUI,SELL,1410.43723554
64,2016-01-20,ALF,BUY,6920.41522491
73,2016-01-22,AUI,BUY,1410.43723554
74,2016-01-23,AUI,SELL,1400.56022409
65,2016-01-25,ALF,SELL,6920.41522491
75,2016-01-25,AUI,BUY,1400.56022409
26,2016-01-28,TGG,SELL,8771.92982456
48,2016-01-28,HHV,SELL,8968.60986547
52,2016-01-28,DJW,BUY,2369.66824645
46,2016-01-28,AGF,SELL,12500.0
67,2016-01-28,WHF,SELL,2369.66824645
66,2016-01-28,DUI,SELL,3030.3030303000005
76,2016-01-28,AUI,SELL,1381.21546961
77,2016-01-30,AUI,BUY,2754.84184324
47,2016-01-30,AGF,BUY,12500.0
53,2016-01-30,DJW,SELL,2369.66824645
49,2016-01-30,HHV,BUY,8968.60986547
27,2016-01-30,TGG,BUY,8771.92982456
67,2016-01-30,DUI,BUY,3030.3030303000005
66,2016-01-31,ALF,BUY,6849.31506849
78,2016-02-01,AUI,SELL,1373.62637363
68,2016-02-03,WHF,BUY,2369.66824645
67,2016-02-03,ALF,SELL,6849.31506849
68,2016-02-04,ALF,BUY,6802.72108844
69,2016-02-09,ALF,SELL,6802.72108844
70,2016-02-12,ALF,BUY,6734.00673401
28,2016-02-17,TGG,SELL,9132.42009132
29,2016-02-19,TGG,BUY,9132.42009132
68,2016-02-20,DUI,SELL,3086.41975309
69,2016-02-20,WHF,SELL,2409.63855422
69,2016-02-22,DUI,BUY,3086.41975309
70,2016-02-22,WHF,BUY,2409.63855422
71,2016-02-28,ALF,SELL,6734.00673401
72,2016-03-01,ALF,BUY,6711.40939597
79,2016-03-05,AUI,SELL,1436.7816092
71,2016-03-05,WHF,SELL,2352.94117647
72,2016-03-08,WHF,BUY,2352.94117647
73,2016-03-08,ALF,SELL,6711.40939597
80,2016-03-09,AUI,BUY,1436.7816092
74,2016-03-10,ALF,BUY,6666.66666667
50,2016-03-12,HHV,BUY,8547.00854701
75,2016-03-15,ALF,SELL,6666.66666667
30,2016-03-16,TGG,SELL,8695.65217391
76,2016-03-16,ALF,BUY,6666.66666667
31,2016-03-19,TGG,BUY,8695.65217391
4,2016-03-20,BKI,SELL,6097.56097561
77,2016-03-22,ALF,SELL,6666.66666667
78,2016-03-23,ALF,BUY,6535.94771242
5,2016-03-24,BKI,BUY,6097.56097561
79,2016-03-25,ALF,SELL,6535.94771242
6,2016-03-26,BKI,SELL,6918.97875874
51,2016-03-26,HHV,SELL,8547.00854701
2,2016-03-26,PGF,SELL,10205.1229717
52,2016-03-27,HHV,SELL,7155.12306812
48,2016-03-27,AGF,SELL,7633.58778626
54,2016-03-27,DJW,BUY,3521.12676056
32,2016-03-27,TGG,SELL,7692.30769231
7,2016-03-28,BKI,BUY,6918.97875874
49,2016-03-30,AGF,BUY,7633.58778626
81,2016-03-30,AUI,SELL,1447.17800289
53,2016-03-30,HHV,BUY,7155.12306812
8,2016-03-31,BKI,SELL,6172.83950617
55,2016-03-31,DJW,SELL,3521.12676056
3,2016-04-01,PGF,BUY,10205.1229717
33,2016-04-01,TGG,BUY,7692.30769231
9,2016-04-03,BKI,BUY,6172.83950617
82,2016-04-03,AUI,BUY,1447.17800289
80,2016-04-12,ALF,BUY,6825.93856655
4,2016-04-16,PGF,SELL,11173.1843575
81,2016-04-17,ALF,SELL,6825.93856655
82,2016-04-18,ALF,BUY,6993.00699301
5,2016-04-18,PGF,BUY,11173.1843575
6,2016-04-20,PGF,SELL,11173.1843575
73,2016-04-20,WHF,SELL,2358.49056604
54,2016-04-20,HHV,SELL,8510.63829787
34,2016-04-20,TGG,SELL,8733.62445415
50,2016-04-20,AGF,SELL,12422.3602484
56,2016-04-20,DJW,BUY,2450.98039216
70,2016-04-20,DUI,SELL,3067.48466258
83,2016-04-20,AUI,SELL,1428.57142857
55,2016-04-22,HHV,BUY,8510.63829787
7,2016-04-22,PGF,BUY,11173.1843575
57,2016-04-22,DJW,SELL,2450.98039216
71,2016-04-22,DUI,BUY,3067.48466258
35,2016-04-22,TGG,BUY,8733.62445415
51,2016-04-22,AGF,BUY,12422.3602484
84,2016-04-23,AUI,BUY,1428.57142857
74,2016-04-24,WHF,BUY,2358.49056604
58,2016-04-27,DJW,BUY,2481.38957816
36,2016-04-27,TGG,SELL,8583.69098712
52,2016-04-27,AGF,SELL,12345.6790123
8,2016-04-27,PGF,SELL,11049.723756899999
75,2016-04-27,WHF,SELL,2352.94117647
56,2016-04-27,HHV,SELL,8438.8185654
0,2016-04-27,FGG,BUY,9049.77375566
1,2016-04-29,FGG,SELL,9049.77375566
57,2016-04-29,HHV,BUY,8438.8185654
53,2016-04-29,AGF,BUY,12345.6790123
59,2016-04-29,DJW,SELL,2481.38957816
37,2016-04-29,TGG,BUY,8583.69098712
9,2016-04-29,PGF,BUY,11049.723756899999
76,2016-05-01,WHF,BUY,2352.94117647
85,2016-05-28,AUI,SELL,1375.51581843
86,2016-06-01,AUI,BUY,1375.51581843
77,2016-06-05,WHF,SELL,2169.19739696
54,2016-06-05,AGF,SELL,10101.010101
2,2016-06-05,FGG,BUY,9743.73964728
72,2016-06-05,DUI,SELL,2816.90140845
60,2016-06-05,DJW,BUY,3115.26479751
58,2016-06-05,HHV,SELL,7006.23554964
87,2016-06-05,AUI,SELL,1302.08333333
38,2016-06-05,TGG,SELL,7204.61095101
59,2016-06-08,HHV,BUY,7006.23554964
55,2016-06-08,AGF,BUY,10101.010101
73,2016-06-08,DUI,BUY,2816.90140845
88,2016-06-10,AUI,BUY,1302.08333333
39,2016-06-11,TGG,BUY,7204.61095101
3,2016-06-12,FGG,SELL,9743.73964728
78,2016-06-12,WHF,BUY,4584.65633416
61,2016-06-12,DJW,SELL,3115.26479751
40,2016-06-15,TGG,SELL,7541.47812971
56,2016-06-15,AGF,SELL,9708.73786408
60,2016-06-15,HHV,SELL,6725.85418348
79,2016-06-15,WHF,SELL,4520.72209509
89,2016-06-15,AUI,SELL,1278.77237852
62,2016-06-15,DJW,BUY,3115.26479751
74,2016-06-15,DUI,SELL,2739.7260274
90,2016-06-18,AUI,BUY,1278.77237852
80,2016-06-18,WHF,BUY,2105.26315789
75,2016-06-18,DUI,BUY,2739.7260274
61,2016-06-18,HHV,BUY,6725.85418348
63,2016-06-18,DJW,SELL,3115.26479751
83,2016-06-18,ALF,SELL,6993.00699301
